train/timesteps,train/iteration,rollout/win_vs_snapshot,rollout/mean_episode_reward,rollout/mean_race_completion,rollout/finish_rate,rollout/mean_speed,rollout/best_race_position,train/actor_loss,train/critic_loss,train/entropy,selfplay/pool_size,win_rate_roll,reward_roll,completion_roll
20004,1,1,-4.485002938169471,1.1153699159622192,0,5.2402141070414014,9,-0.03541266010142863,0.019040621118620038,3.032290369272232,1,1.0,-4.485002938169471,1.1153699159622192
40008,2,1,-2.13803667271039,1.2311345338821411,0,6.88087362170022,9,-0.03730047307908535,0.008326150593347847,3.0261771082878113,1,1.0,-3.3115198054399304,1.1732522249221802
60012,3,0,-3.373095962975726,1.0625038146972656,0,4.047863142477237,10,-0.03222827659919858,0.007584255188703537,2.9933320581912994,1,0.6666666666666666,-3.332045191285195,1.136336088180542
80016,4,0,-2.9964965420326943,1.0996126532554626,0,5.26755893689504,10,-0.0333458436653018,0.0034385105536784977,2.9761997163295746,1,0.5,-3.24815802897207,1.1271552294492722
100020,5,0,-0.24138405610215075,1.1508486866950989,0,8.1416617929465,11,-0.03323022346012294,0.006503274955321103,2.977895200252533,1,0.4,-2.646803234398086,1.1318939208984375
120024,6,1,-2.5008114996121975,1.3371667861938477,0,8.947834489043883,9,-0.03602684265933931,0.005491530057042837,2.9291602969169617,1,0.5,-2.6224712786004383,1.1661060651143391
140028,7,0,-3.3211688337485405,1.2024621367454529,0,8.976815017320142,10,-0.03172592050395906,0.005348136823158711,2.931101679801941,1,0.42857142857142855,-2.7222852150501673,1.1712997896330697
160032,8,0,-3.428768610254589,1.2264902591705322,0,8.081543967017517,10,-0.03391905780881643,0.004796105844434351,2.92292058467865,1,0.375,-2.8105956394507197,1.1781985983252525
180036,9,0,-2.9407611313953583,1.1953455209732056,0,7.1606459795990975,9,-0.03643639385700226,0.007070219551678747,2.942900776863098,1,0.3333333333333333,-2.825058471889013,1.180103811952803
200040,10,1,-5.782413536979815,1.314092218875885,0,11.048465210194511,9,-0.03140279173385352,0.00543358369031921,2.8973010182380676,1,0.4,-3.120793978398093,1.1935026526451111
